attempt	target	outcome	wall_ms	evidence
1	fuse Phase A/C into in-LDS selects	accept	1.1345	2.9587 -> 1.1345, five gates green
2	Phase B grid.x = 4	reject_perf	1.2528	same-address atomic contention on cand_count[row]
3	Phase B grid.x = 8	reject_perf	1.4974	monotonic with gx
4	Phase B grid.x = 16	reject_perf	2.0250	monotonic with gx
5	Phase B grid.x = 32	reject_perf	2.6405	monotonic with gx
6	Phase B grid.x = 64	reject_perf	3.4223	monotonic with gx; pure read at gx=1 is 6.08 TB/s
7	block-aggregated global atomic	reject_perf	0.8949	flattens gx sensitivity but loses to gx=1 per-wave (0.858)
8	parallel pivot scan + bounded fallback grid	accept	0.7916	phase_a 118->61, phase_c 220->100, phase_d 130->99 us
9	zero-global-atomic row-block filter	accept	0.7916	phase_b 662 -> 527 us
10	wave-private regions + packed 64-bit store	accept	0.7740	phase_b 527 -> 501 us
11	non-temporal loads in Phase B	reject_neutral	0.7930	vs 0.7916; pure streaming, L2 not the constraint
12	static __shared__ sized to SAMPLE_S_MAX	reject_perf	0.8520	64 KB LDS regardless of runtime S; fixed with dynamic LDS
13	sample count S=16384	reject_perf	1.0725	LDS cost exceeds the spread benefit
14	sample count S=8192	accept	0.7612	min candidate count 1872 -> 2125 > K; fallback 4 -> 0 rows
15	vectorized Phase A load + wave shfl scan	accept	0.6997	phase_a 154 -> 93 us; TARGET MET
16	LDS-staged contiguous candidate flush	accept	0.6780	ablation: stores were 139 of the 151 us over floor
17	HIST_REPLICAS=2	reject_perf	0.6400	worse than 4
18	HIST_REPLICAS=8	reject_perf	0.6480	extra LDS costs more than the conflict it removes
19	HIST_REPLICAS=4	accept	0.6251	0.667 -> 0.626; fp32 top byte is sign+exponent
20	ballot gather in Phase C	reject_neutral	0.6280	102.1 -> 104.2 us; its radix passes are the cost, not atomics
21	common-prefix skip in Phase A	reject_perf	0.6280	phase_a +8.0 us; samples span the row so no pass is skipped
22	common-prefix skip in Phase C only	accept	0.6202	phase_c -6.0 us
23	Phase A with 2 radix passes	reject_risk	0.6144	0.8% faster but overflow headroom 9.6% -> 4.3%
24	sample count back to S=4096	reject_perf	0.7043	trade-off did not flip; fallback rows cost more
25	auto margin from estimator noise	accept	0.6194	K=512 guard 0.7326 -> 0.5725 (-22%), under_K 82 -> 0
26	candidate record 8B -> 4B (index only)	reject_arith	-	killed on arithmetic before edit: 2.19% density means phase_c re-read touches 1.09 GB of lines to save 47 MB of writes
27	re-open phase-a-passes=2 with CAP_SAFE_FILL headroom	reject_perf	-	premise did change (gaussian 0.954-0.995x, fb=0 everywhere incl the old +320% cell) but uniform M=256 N=1M still gains fb 0->1; one fallback row ~700us against a 215us cell, and the 2-5% win flips zero cells
28	remove the dead s_red LDS declarations (known_bad:678 OPEN lever)	reject_arith	-	killed on arithmetic: phase_a runs 1024 threads = 16 waves so occupancy is wave-limited at 2 blocks/CU; 1 KB out of 21-71 KB never crosses a blocks/CU boundary at any S in play
29	joint (S, margin) sweep	reject_perf	-	shipped auto point is the optimum; margin<=1.25 floods the fallback (fb 54, 1.45x at M=4096 N=262144) because it breaks margin*(1-3/sqrt(R))>=1; the one 0.970x point (M=512 N=262144 margin 1.30) gives fb=1 and 1.26x at M=4096
30	fix the fuse-ab layout mismatch, then measure A+B fusion fairly	reject_perf	-	root cause was coop selecting phase_c layout without consulting g_fuse_ab, not uninit counters; with that fixed fusion still faults on most shapes and where it runs is 1.575x (m=1 n=128K), 3.927x (m=16 n=1M), 1.208x (anchor) SLOWER -- one block per row destroys phase_b streaming
31	coop_g re-sweep on the near-miss cells	reject_perf	-	shipped table already optimal everywhere tried (auto within 0.1-0.2% of best); the non-monotone dip at M=512/1024 N=131072 is correct, coop_g=2 really is best there
32	per-kernel decomposition at small and large M	accept_knowledge	-	small M is phase_c-dominated not phase_a (40.1% vs 25.4% at m=16); large M excess is the candidate write, flat in M and falling with N
33	ballot guards on the four compaction slots	reject_perf	-	correct (20/20 dists PASS) but phase_b 463.87->468.33us at n=131072 (+0.9%) and 869.24->885.22 at n=262144 (+1.8%); the scalar branch costs more than the 24% whole-slot-empty skip saves
34	price the compaction halves with ABLATE_COMPACT	accept_knowledge	-	prefix arithmetic and ds_write are BOTH free (465.87/465.19/464.55 us); the 100us is the 94MB candidate write and its drain, confirmed by PMC (0% 32B reads, 95.7% full-width writes, 1% stalls)
35	sweep phase_a / phase_c block width (never swept)	reject_perf	-	auto is optimal and smaller is strictly worse: phase_a at m=16 n=131072 is 6.64us at 1024 threads, 8.30 at 512, 9.59 at 256, 13.88 at 128
36	ceiling: efficiency if phase_a and phase_c were free	accept_knowledge	-	12/40 pow2 cells green now, 25/40 in that unreachable limit; 15 cells stay 25-51% because phase_b alone plus two dispatches exceeds floor/0.6
37	price phase_a: gather vs radix walk	accept_knowledge	-	at m=16 the gather is FLAT in S (3.65/3.62/3.97us for S=4096/8192/16384) and an empty dispatch is 2.64us, so small-M phase_a is launch cost; at m=4096 it scales cleanly (18.77/35.00/52.86)
38	sweep S across the N>=128K grid	open_lever	-	auto is 33-100% too large at N<=262144: best is 6144 at N=131072 (all 7 M agree) and 8192-12288 at N=262144 (0.952-0.986x, verified interleaved at 0.980x); worth ~2 cells, but S=10240 at N=262144 and S<=8192 at N=1M fall off a fallback cliff
